player,pos,age,tm,g,gs,mp,fg,fga,fgpercent,x3p,x3pa,x3ppercent,x2p,x2pa,x2ppercent,ft,fta,ftpercent,orb,drb,trb,ast,stl,blk,tov,pf,pts,ortg,drtg,ts,od,div
Jimmy Butler,SF,32,MIA,57,57,1931,10.3,21.5,0.48,0.7,3,0.233,9.6,18.5,0.52,10.3,11.8,0.87,2.6,6.1,8.7,8.1,2.4,0.7,3.1,2.3,31.6,124,108,0.5919376592237374,1.1481481481481481,SE
Kentavious Caldwell-Pope,SG,28,WAS,77,77,2329,7.7,17.6,0.435,3.4,8.7,0.39,4.3,8.9,0.48,2.9,3.3,0.89,0.9,4.7,5.5,3.1,1.8,0.6,2.1,3,21.6,109,116,0.5668696199874029,0.9396551724137931,SE
Facundo Campazzo,PG,30,DEN,65,4,1184,4.4,12.3,0.361,2.4,8,0.301,2,4.3,0.476,2.5,3.2,0.769,1,3.9,4.8,9.1,2.6,1,2.8,5.1,13.8,109,111,0.5033557046979866,0.9819819819819819,NW
Clint Capela,C,27,ATL,74,73,2042,8.9,14.5,0.613,0,0,0,8.9,14.5,0.614,1.9,4.1,0.473,6.7,14.4,21.1,2.2,1.3,2.2,1.1,4,19.7,132,109,0.6041462217860648,1.2110091743119267,SE
Jevon Carter,PG,26,TOT,66,3,905,5.2,13.5,0.387,3.5,9.1,0.388,1.7,4.4,0.386,0.8,1,0.833,0.7,5.1,5.9,5.1,1.3,0.7,1.8,3.6,14.8,110,114,0.5308464849354376,0.9649122807017544,NA
Jevon Carter,PG,26,BRK,46,1,552,5.1,15.3,0.333,3.7,11.2,0.331,1.4,4.1,0.34,0.6,0.9,0.7,0.8,5.1,5.9,4,1.2,0.9,2.3,4,14.5,94,115,0.461901121304791,0.8173913043478261,A
Wendell Carter Jr.,PF,22,ORL,62,61,1852,9.4,17.9,0.525,1.8,5.6,0.327,7.5,12.3,0.615,3.7,5.4,0.691,3.6,13.3,16.9,4.5,0.9,1.1,3.1,4.4,24.3,115,110,0.5992306174787927,1.0454545454545454,SE
Josh Christopher,SG,20,HOU,74,2,1334,8,17.8,0.448,2,6.7,0.296,6,11.1,0.54,3,4,0.735,1.9,4.8,6.6,5.4,2.3,0.5,4.1,3.5,20.9,101,117,0.5342535787321062,0.8632478632478633,SW
Brandon Clarke,PF,25,MEM,64,1,1246,11.1,17.2,0.644,0.2,0.8,0.227,10.9,16.3,0.666,3.3,5,0.654,5.2,7.9,13.1,3.3,1.5,2.6,1.3,4.7,25.6,138,108,0.6597938144329898,1.2777777777777777,SW
Jordan Clarkson,SG,29,UTA,79,1,2141,10.8,25.7,0.419,4.4,13.8,0.318,6.4,11.9,0.535,3.3,4,0.828,1.5,4.8,6.3,4.5,1.5,0.4,3,3.4,29.2,108,113,0.5316824471959213,0.9557522123893806,NW
