"","player","pos","age","tm","g","gs","mp","fg","fga","fgpercent","x3p","x3pa","x3ppercent","x2p","x2pa","x2ppercent","ft","fta","ftpercent","orb","drb","trb","ast","stl","blk","tov","pf","pts","ortg","drtg","ts","od","div"
"270","Austin Reaves","SG",23,"LAL",61,19,1418,4.9,10.7,0.459,1.8,5.6,0.317,3.1,5.1,0.616,3.3,4,0.839,1.5,5,6.5,3.7,1,0.7,1.4,2.9,15,123,116,0.601926163723917,1.06034482758621,"P"
"271","Cam Reddish","SF",22,"TOT",49,7,1012,8,19.9,0.404,3.2,9,0.359,4.8,10.9,0.442,4.9,5.5,0.902,1.2,3.9,5.1,2.3,2.3,0.7,2.8,2.9,24.2,105,114,0.542114695340502,0.921052631578947,NA
"272","Davon Reed","SG",26,"DEN",48,5,668,5.9,11.8,0.503,2.7,6.3,0.43,3.2,5.5,0.587,0.7,1.1,0.667,1,6.9,7.9,3.9,1.8,0.7,1.2,4.6,15.3,123,112,0.6227613155324,1.09821428571429,"NW"
"273","Naz Reid","C",22,"MIN",77,6,1215,9.1,18.6,0.489,2.2,6.5,0.343,6.9,12.1,0.568,4.5,5.8,0.765,4,7.8,11.8,2.8,1.6,2.8,3.2,6.7,24.9,113,109,0.588596822995461,1.03669724770642,"NW"
"274","Nick Richards","C",24,"CHO",50,5,367,7.8,11.8,0.667,0,0,NA,7.8,11.8,0.667,3.9,5.6,0.698,4.4,6.8,11.2,1.7,1.2,2.7,3.1,6.7,19.6,122,113,0.687044307347168,1.07964601769911,"SE"
"275","Josh Richardson","SG",28,"TOT",65,7,1600,7.2,16.4,0.438,3.1,7.6,0.415,4.1,8.8,0.458,2.9,3.3,0.889,1.3,4.4,5.7,3.5,1.7,0.9,2,3.6,20.4,113,110,0.571364552991262,1.02727272727273,NA
"276","Austin Rivers","SG",29,"DEN",67,18,1480,4.8,11.6,0.417,2.6,7.7,0.342,2.2,3.9,0.563,1.1,1.5,0.727,0.6,3.1,3.8,3,1.7,0.2,1.8,4,13.4,104,115,0.546492659053834,0.904347826086956,"NW"
"277","Duncan Robinson","SG",27,"MIA",79,68,2043,7.1,17.8,0.399,5.7,15.3,0.372,1.4,2.5,0.569,1.2,1.5,0.836,0.6,4.4,5,3.2,1,0.3,1.5,4.9,21.1,113,112,0.571505958829903,1.00892857142857,"SE"
"278","Mitchell Robinson","C",23,"NYK",72,62,1848,7.1,9.3,0.761,0,0,NA,7.1,9.3,0.761,2.4,4.9,0.486,8,8.7,16.7,1,1.6,3.6,1.6,5.3,16.5,143,106,0.720146648044693,1.34905660377358,"A"
"279","Jeremiah Robinson-Earl","C",21,"OKC",49,36,1087,6,14.5,0.414,2.6,7.4,0.352,3.4,7.1,0.478,1.8,2.4,0.741,3.4,8.9,12.3,2.2,1.3,0.7,1.7,3.4,16.4,108,113,0.527127796348676,0.955752212389381,"NW"
"280","Isaiah Roby","PF",23,"OKC",45,28,948,8.5,16.6,0.514,2.3,5.1,0.444,6.3,11.5,0.545,4,6,0.672,3.9,7.3,11.1,3.6,1.8,1.7,2.2,5.6,23.3,120,111,0.605509355509355,1.08108108108108,"NW"
